Training error 1.3959312636409864 	 Validation error 1.2853187955436896 	 Testing error 1.312483329847821 
Training error 0.9926451464359597 	 Validation error 0.9150906890560074 	 Testing error 1.1278299254334274 
Training error 0.9926451464359597 	 Validation error 0.9150906890560074 	 Testing error 1.1278299254334274 
Training error 0.9926451464359597 	 Validation error 0.9150906890560074 	 Testing error 1.1278299254334274 
Training error 0.6110839972970437 	 Validation error 0.7539760904419329 	 Testing error 0.7804853185462193 
Training error 0.6094514997000922 	 Validation error 0.7378049440899421 	 Testing error 0.7821733538649989 
Training error 0.5459172709382702 	 Validation error 0.888020510781098 	 Testing error 0.8574260365622879 
Training error 0.46117177862861214 	 Validation error 0.8907674841041345 	 Testing error 0.7849327356618077 
Training error 0.46117177862861214 	 Validation error 0.8907674841041345 	 Testing error 0.7849327356618077 
Training error 0.30759452178012336 	 Validation error 0.581359207191369 	 Testing error 0.4329909327565899 
Training error 0.28678777021701773 	 Validation error 0.6688023690446322 	 Testing error 0.45222012713867815 
Training error 0.1633009542911752 	 Validation error 0.3201716104692503 	 Testing error 0.3788400371182428 
Training error 0.16030297549817646 	 Validation error 0.30522863334865147 	 Testing error 0.38370160426301475 
Training error 0.151580540743423 	 Validation error 0.3251964410448096 	 Testing error 0.39000884632936067 
Training error 0.15071077431807176 	 Validation error 0.3253798194756437 	 Testing error 0.40434299114137173 
Training error 0.14760565154598057 	 Validation error 0.33682400734407925 	 Testing error 0.42114083343435915 
Training error 0.14636633912257366 	 Validation error 0.323917668597501 	 Testing error 0.40818764229019877 
Training error 0.1434523443220399 	 Validation error 0.357072449312091 	 Testing error 0.3739034111635172 
Training error 0.13463551806823457 	 Validation error 0.5169784780184741 	 Testing error 1.0349578441853355 
Training error 0.13463551806823457 	 Validation error 0.5169784780184741 	 Testing error 1.0349578441853355 
Training error 0.1345936547343262 	 Validation error 0.614667572922483 	 Testing error 1.6691320317125258 
Training error 0.12783775732749458 	 Validation error 0.36234532147235454 	 Testing error 1.3335181854357105 
Training error 0.1272497874320761 	 Validation error 0.3734539040066432 	 Testing error 1.3541913877275784 
Training error 0.12778737342783691 	 Validation error 0.3719808421314113 	 Testing error 1.9493371936489918 
Training error 0.12590130222081342 	 Validation error 0.5784761175386806 	 Testing error 4.6099596714700235 
Training error 0.126368329490226 	 Validation error 0.5296999875826264 	 Testing error 5.032835802138604 
Training error 0.12637404765840832 	 Validation error 0.5991030358080707 	 Testing error 6.892071371300763 
Training error 0.12685804543957271 	 Validation error 0.5464493422550096 	 Testing error 7.881225564089972 
Training error 0.12698068404695229 	 Validation error 0.5952230846875203 	 Testing error 10.011959448340075 
Training error 0.1257193081096509 	 Validation error 1.3280670820374803 	 Testing error 14.888677131456754 
