Training error 1.420375462918048 	 Validation error 1.2716780942747143 	 Testing error 1.3239375372291953 
Training error 1.174469463632379 	 Validation error 1.0803145558748106 	 Testing error 1.2246905380357107 
Training error 0.6342134154427308 	 Validation error 0.8183521930443755 	 Testing error 0.8558382289316525 
Training error 0.6220512364453881 	 Validation error 0.7726427958876833 	 Testing error 0.7861645020985443 
Training error 0.6205095084575466 	 Validation error 0.7741441314697823 	 Testing error 0.7823533115008087 
Training error 0.6076433121299515 	 Validation error 0.8203645256558302 	 Testing error 0.8028477246380266 
Training error 0.37094992303622604 	 Validation error 0.5296397319383842 	 Testing error 0.471278645340536 
Training error 0.4102585244135535 	 Validation error 0.630249022820128 	 Testing error 0.5617939453400826 
Training error 0.1954736658098675 	 Validation error 0.2879598418720983 	 Testing error 0.33701300824089064 
Training error 0.20824263194507003 	 Validation error 0.3351743905750926 	 Testing error 0.31840784744794115 
Training error 0.18098863940586898 	 Validation error 0.37406739527708777 	 Testing error 0.35461469515891353 
Training error 0.1646097137040078 	 Validation error 0.398193964432448 	 Testing error 0.40525740050753706 
Training error 0.15983111095953076 	 Validation error 0.3908438663296047 	 Testing error 0.3852073165781011 
Training error 0.1573834173281604 	 Validation error 0.357267678823065 	 Testing error 0.37686534850956094 
Training error 0.1377978827324884 	 Validation error 0.38157089841624153 	 Testing error 0.36956517511443787 
Training error 0.13654094231829628 	 Validation error 0.3657448034594945 	 Testing error 0.3676724405588042 
Training error 0.13768491662682017 	 Validation error 0.3574779924118439 	 Testing error 0.3593903647461817 
Training error 0.13495961872468804 	 Validation error 0.36979694159478965 	 Testing error 0.37384975231019024 
Training error 0.1337747622066005 	 Validation error 0.37068297727637023 	 Testing error 0.3750622371482431 
Training error 0.13289990828400586 	 Validation error 0.44967905610961467 	 Testing error 0.4293626572914165 
Training error 0.13149643422631266 	 Validation error 0.39941523627377395 	 Testing error 0.4001799264896775 
Training error 0.12780680263607758 	 Validation error 0.46749364484939787 	 Testing error 0.48139864681977196 
Training error 0.11422965309681622 	 Validation error 1.8061337942383398 	 Testing error 2.4897418062471894 
Training error 0.1117166065390467 	 Validation error 0.8207355101980404 	 Testing error 1.1273533941875211 
Training error 0.10568708500313223 	 Validation error 4.868446916823557 	 Testing error 6.5883849545748365 
Training error 0.10962654527512246 	 Validation error 3.1270067397629164 	 Testing error 5.256500958435373 
Training error 0.09787347746260772 	 Validation error 6.6961827447690245 	 Testing error 9.108458859026836 
Training error 0.10567708514282699 	 Validation error 3.735330114807603 	 Testing error 5.56950144375552 
Training error 0.09349861689357748 	 Validation error 5.247672199347799 	 Testing error 6.554092692156446 
Training error 0.09843970929322907 	 Validation error 2.450124915964787 	 Testing error 3.679272038257757 
Training error 0.08867348461878438 	 Validation error 1.0345253984289335 	 Testing error 1.6245562336699206 
Training error 0.08022559265476036 	 Validation error 2.3886417242541724 	 Testing error 2.869101902481147 
Training error 0.06994299835112788 	 Validation error 255.36546758484252 	 Testing error 302.4139014886923 
Training error 0.06957878884628514 	 Validation error 22.324751436806533 	 Testing error 27.83748277743362 
Training error 0.06495903650417706 	 Validation error 128.41309509870158 	 Testing error 138.6954163634201 
Training error 0.06216687589502927 	 Validation error 94.4302950020843 	 Testing error 112.66606986300447 
Training error 0.061249583226244804 	 Validation error 151.95088373388978 	 Testing error 130.00545419127988 
Training error 0.0585315509539835 	 Validation error 632.7902002801715 	 Testing error 369.33897354816963 
Training error 0.060509675330424416 	 Validation error 427.3920594408368 	 Testing error 295.1071341927336 
Training error 0.054452916301053075 	 Validation error 304.6665721254332 	 Testing error 181.6718279531847 
